gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
339,837,2017-03-06,18:10:22,5.213100,5.606659,3.700886,1,825.592892,18:10:22,347.5014343261719,-4.431671142578125,-0.47784423828125,0.2773821353912354,34.05893682259674,-118.2841936561454,80.24657478428364,5,-0.5224406309765384,0.02564221155034287,0.02748534107551198,-0.4791622440608921,-0.01615723623658826,-0.014356067254784211,1.10028076171875,-4.431671142578125,-0.47784423828125,-0.03403919347284778,-0.005280515809409114,-0.01242844017518179,seonkim
339,838,2017-03-06,18:10:22,5.213100,5.606659,3.713706,1,825.592892,18:10:22,347.2832336425781,-4.655792236328125,-0.03155517578125,0.2773821353912354,34.05893682259674,-118.2841936561454,80.24657478428364,5,-0.4405013691328342,-0.07660887418437108,0.000243356606257971,-0.4687177685426846,-0.0324886217459973,-0.010411942208976586,0.648712158203125,-4.655792236328125,-0.03155517578125,-0.01772014126116923,0.03093980659621356,-0.01818539550360608,seonkim
339,839,2017-03-06,18:10:22,5.213100,5.606659,5.753159,1,825.592892,18:10:22,346.8273620605469,-4.27984619140625,0.64361572265625,0.2773821353912354,34.05893682259674,-118.2841936561454,80.24657478428364,5,-0.5110332038156055,0.02376671235187147,0.1353522681168678,-0.48014954623971656,-0.017290893788543434,0.028967164679114886,0.7991943359375,-4.27984619140625,0.64361572265625,0.04073118465999889,-0.01390223352243164,-0.006878945095674672,seonkim
339,840,2017-03-06,18:10:22,5.213100,5.606659,6.787467,1,825.592892,18:10:22,346.4842834472656,-2.704925537109375,0.48516845703125,0.2773821353912354,34.05893682259674,-118.2841936561454,80.24657478428364,5,-0.4437917352182987,-0.07078731894871557,0.0683425656284127,-0.4703272577422253,-0.03174328535849036,0.039604673840504256,0.5057373046875,-2.704925537109375,0.48516845703125,-0.07393121607336271,0.01927089996392238,0.009534915650810697,seonkim
341,841,2017-03-06,18:10:23,2.149395,3.567182,8.018406,1,826.553757,18:10:23,346.837646484375,-2.7806396484375,-0.041015625,0.2773821353912354,34.05894546310284,-118.2841937713965,80.60245682663987,5,-0.5038833367410311,0.02223519838196901,0.08145128566099107,-0.47939264092980827,-0.01716066266859281,0.05090979596959007,0.356231689453125,-2.7806396484375,-0.041015625,0.02186375360122352,0.02662788247526627,-0.01857714649995673,seonkim
341,842,2017-03-06,18:10:23,2.149395,3.567182,8.848256,1,826.553757,18:10:23,346.9329223632812,-3.080413818359375,-0.04449462890625,0.2773821353912354,34.05894546310284,-118.2841937713965,80.60245682663987,5,-0.4516548382416657,-0.06872231086799085,0.05471203138167054,-0.4718991012299366,-0.03109036222400048,0.05193699348516194,-0.095001220703125,-3.080413818359375,-0.04449462890625,0.06729994495906541,0.02019155475276277,-0.04667296336807468,seonkim
341,843,2017-03-06,18:10:23,2.149395,3.567182,10.099030,1,826.553757,18:10:23,346.7533874511719,-3.38079833984375,-0.26776123046875,0.2773821353912354,34.05894546310284,-118.2841937713965,80.60245682663987,5,-0.4946092783950008,-0.01252736162505823,0.08277363708852777,-0.4780343966637842,-0.02607545230121921,0.06026770430788317,-0.020843505859375,-3.38079833984375,-0.26776123046875,0.08180724868116304,0.01163481817033818,-0.02297988441407573,seonkim
341,844,2017-03-06,18:10:23,2.149395,3.567182,10.748706,1,826.553757,18:10:23,346.4451293945312,-3.230377197265625,0.03173828125,0.2773821353912354,34.05894546310284,-118.2841937713965,80.60245682663987,5,-0.4534234267882493,-0.004339693385103843,0.04270038189376252,-0.4713855902717226,-0.020203402010286205,0.05552178303175653,-0.02069091796875,-3.230377197265625,0.03173828125,0.04960616899268795,-0.004313255701492334,-0.02158598589952826,seonkim
341,845,2017-03-06,18:10:23,2.149395,3.567182,12.355065,1,826.553757,18:10:23,346.1864318847656,-3.529998779296875,0.1025390625,0.2773821353912354,34.05894546310284,-118.2841937713965,80.60245682663987,5,-0.4864806834687005,-0.06393485212528154,0.1064793242643637,-0.4754636234676676,-0.03201772491300704,0.06928827933745071,-0.54705810546875,-3.529998779296875,0.1025390625,0.05705716109051165,-0.02244006166111667,-0.02376791378063018,seonkim
343,846,2017-03-06,18:10:24,4.984620,3.246764,13.487265,1,828.782083,18:10:24,345.9694061279297,-3.004058837890625,0.77716064453125,0.2773821353912354,34.05896550113133,-118.2841940385697,80.92908380948637,5,-0.4426803853664507,0.04696702609244088,0.07486868140426015,-0.4666070280493567,-0.01067950378575033,0.07079585962054064,-0.39593505859375,-3.004058837890625,0.77716064453125,-0.05046423949591149,0.05550294027834141,-0.03563842170744037,seonkim
343,847,2017-03-06,18:10:24,4.984620,3.246764,14.707143,1,828.782083,18:10:24,345.7796783447266,-2.8551025390625,0.1024169921875,0.2773821353912354,34.05896550113133,-118.2841940385697,80.92908380948637,5,-0.502288031588163,-0.0708073107878843,0.08071388986116587,-0.4762464728011793,-0.02692340435359606,0.07347527709957634,-0.3193359375,-2.8551025390625,0.1024169921875,0.007621700723697772,0.01278237428405332,-0.004009921653332309,seonkim
343,848,2017-03-06,18:10:24,4.984620,3.246764,16.562085,1,828.782083,18:10:24,345.5012817382812,-2.780303955078125,0.1839599609375,0.2773821353912354,34.05896550113133,-118.2841940385697,80.92908380948637,5,-0.4596412110237782,0.03947426037315838,0.1230514688515132,-0.47176045818225965,-0.008985662773892705,0.08686859326230177,0.35589599609375,-2.780303955078125,0.1839599609375,-0.006043511461716815,0.0373167458264083,-0.01149686642587207,seonkim
343,849,2017-03-06,18:10:24,4.984620,3.246764,17.408968,1,828.782083,18:10:24,345.5363311767578,-2.555267333984375,0.10516357421875,0.2773821353912354,34.05896550113133,-118.2841940385697,80.92908380948637,5,-0.4809258763871933,-0.0711912020116238,0.05584761113910686,-0.47423655284472394,-0.025790875611790953,0.0784880822433615,0.056854248046875,-2.555267333984375,0.10516357421875,-0.02364514205437752,0.05440598422533777,-0.03943688837022039,seonkim
345,850,2017-03-06,18:10:25,6.267482,3.422659,18.698589,1,831.583899,18:10:25,345.5660858154297,-2.255584716796875,-0.04437255859375,0.2773821353912354,34.05899069622202,-118.2841943751555,80.97437292630235,5,-0.474912072579651,0.04502453542374267,0.08536337067792883,-0.47441904869735635,-0.0066596524242978836,0.08034548412236912,0.20831298828125,-2.255584716796875,-0.04437255859375,-0.05853921023714075,0.04270831545327372,-0.007053914779292878,seonkim
345,851,2017-03-06,18:10:25,6.267482,3.422659,18.638879,1,831.583899,18:10:25,345.6784362792969,-2.70556640625,0.11163330078125,0.2773821353912354,34.05899069622202,-118.2841943751555,80.97437292630235,5,-0.5286506068462828,-0.1070580315883997,-0.004591926188260945,-0.489070041010767,-0.03378289821732447,0.057399115106661916,0.656280517578125,-2.70556640625,0.11163330078125,0.06816201020392405,-0.002224804774652196,0.01724982701266124,seonkim
345,852,2017-03-06,18:10:25,6.267482,3.422659,20.349749,1,831.583899,18:10:25,346.0585327148438,-2.406402587890625,-0.41357421875,0.2773821353912354,34.05899069622202,-118.2841943751555,80.97437292630235,5,-0.4494418097953766,0.0828115790154972,0.1134466984131848,-0.47836422818244356,-0.0022841759229509095,0.07254071789731245,0.7332763671875,-2.406402587890625,-0.41357421875,-0.1352566254429443,0.05027222558131677,-0.02333754694847337,seonkim
345,853,2017-03-06,18:10:25,6.267482,3.422659,20.084568,1,831.583899,18:10:25,346.0594482421875,-2.631195068359375,-0.1075439453125,0.2773821353912354,34.05899069622202,-118.2841943751555,80.97437292630235,5,-0.4565421050708798,-0.05508462033269748,-0.01829007788827261,-0.47246884606762685,-0.016548543969827283,0.04800221418659205,1.25689697265625,-2.631195068359375,-0.1075439453125,-0.1333018652028262,0.01932975582401313,0.03731408266531822,seonkim
345,854,2017-03-06,18:10:25,6.267482,3.422659,21.066781,1,831.583899,18:10:25,346.5156555175781,-2.7071533203125,-0.55133056640625,0.2773821353912354,34.05899069622202,-118.2841943751555,80.97437292630235,5,-0.5150673056315207,0.09608952499864648,0.0648695784002266,-0.48397708453497573,0.013881330055232392,0.05255903740680686,1.857269287109375,-2.7071533203125,-0.55133056640625,-0.01486949363034842,0.002152899425220056,-0.005593170921384416,seonkim
347,855,2017-03-06,18:10:26,14.046566,5.617922,21.714265,1,837.863277,18:10:26,347.0158996582031,-2.932464599609375,-0.853515625,0.2773821353912354,34.05904716299245,-118.2841951295268,81.23765658235213,5,-0.4528365196581938,-0.1476469543347194,0.04255426908823357,-0.4755642674923212,-0.029756539365682337,0.04985618709720768,1.556793212890625,-2.932464599609375,-0.853515625,-0.01890817742345358,0.05547870551242168,-0.06392305669684493,seonkim
347,856,2017-03-06,18:10:26,14.046566,5.617922,22.409839,1,837.863277,18:10:26,347.3428955078125,-3.906524658203125,-0.25091552734375,0.2773821353912354,34.05904716299245,-118.2841951295268,81.23765658235213,5,-0.508459705549813,0.07781328917468494,0.04576030088699604,-0.48445117442579144,-0.0006958819755346207,0.048749657994399606,1.477020263671875,-3.906524658203125,-0.25091552734375,-0.09419494249166663,0.01077248660937052,0.003738012906035219,seonkim
347,857,2017-03-06,18:10:26,14.046566,5.617922,23.789701,1,837.863277,18:10:26,347.6754760742188,-3.83013916015625,0.6480712890625,0.2773821353912354,34.05904716299245,-118.2841951295268,81.23765658235213,5,-0.4371265604153245,0.0161145851529398,0.09137951093998481,-0.47166613597643603,0.0038455701436867964,0.06026637757882408,1.400970458984375,-3.83013916015625,0.6480712890625,-0.1105989495421187,0.08114758367915043,-0.01830763459764071,seonkim
347,858,2017-03-06,18:10:26,14.046566,5.617922,23.571732,1,837.863277,18:10:26,348.3124389648438,-3.679443359375,1.0968017578125,0.2773821353912354,34.05904716299245,-118.2841951295268,81.23765658235213,5,-0.4627231805871455,-0.02697260905952082,-0.01514256082254883,-0.4692501410255282,-0.004480152406633206,0.039894184439047145,1.325897216796875,-3.679443359375,1.0968017578125,-0.03426449690106849,0.0928159576792236,-0.09269025647577185,seonkim
347,859,2017-03-06,18:10:26,14.046566,5.617922,24.339861,1,837.863277,18:10:26,348.5497131347656,-2.8548583984375,0.94769287109375,0.2773821353912354,34.05904716299245,-118.2841951295268,81.23765658235213,5,-0.4745540813192253,-0.03440537694408751,0.05059729888091895,-0.4706830334432668,-0.012564637707080184,0.0427856972918919,1.70440673828125,-2.8548583984375,0.94769287109375,-0.09277334710178232,-0.01908847342925195,0.03553242789605521,seonkim
349,860,2017-03-06,18:10:27,16.522396,7.456137,24.683988,1,845.249452,18:10:27,348.7297973632812,-2.63037109375,0.7257080078125,0.2773821353912354,34.05911358253569,-118.284196016175,81.13742673433954,5,-0.5061487023009785,0.01949785926921001,0.02233047299936045,-0.48026430419336025,-0.0039027549808196334,0.037259591384036804,2.080657958984375,-2.63037109375,0.7257080078125,-0.0849449850774944,0.07152398476404008,-0.01900538280324147,seonkim
349,861,2017-03-06,18:10:27,16.522396,7.456137,26.016780,1,845.249452,18:10:27,348.6996154785156,-2.405975341796875,0.0416259765625,0.2773821353912354,34.05911358253569,-118.284196016175,81.13742673433954,5,-0.4180715146088069,0.006003867575679743,0.08824150252323185,-0.4634625357534672,-0.0012264193585135958,0.05103267137137843,1.257568359375,-2.405975341796875,0.0416259765625,-0.08506695785542004,0.004352936801734515,0.02949211222764649,seonkim
349,862,2017-03-06,18:10:27,16.522396,7.456137,25.716136,1,845.249452,18:10:27,348.6817016601562,-2.856353759765625,-0.25830078125,0.2773821353912354,34.05911358253569,-118.284196016175,81.13742673433954,5,-0.5505972091176987,-0.02241855650170552,-0.02065422971231491,-0.48700250903222086,-0.006951606850582657,0.0316660097337907,1.10626220703125,-2.856353759765625,-0.25830078125,0.03987417942121139,0.06073232339482099,-0.05852669338001737,seonkim
349,863,2017-03-06,18:10:27,16.522396,7.456137,27.264613,1,845.249452,18:10:27,348.7030334472656,-3.006317138671875,-0.258544921875,0.2773821353912354,34.05911358253569,-118.284196016175,81.13742673433954,5,-0.4013863399190711,-0.04700469563284003,0.1026204839871772,-0.4638727691096504,-0.017772197589755886,0.05083480171342958,1.0306396484375,-3.006317138671875,-0.258544921875,0.02979731048856957,0.0617978541469617,-0.03411642514446008,seonkim
349,864,2017-03-06,18:10:27,16.522396,7.456137,26.397005,1,845.249452,18:10:27,348.7634582519531,-1.955657958984375,0.110595703125,0.2773821353912354,34.05911358253569,-118.284196016175,81.13742673433954,5,-0.5510707144829923,-0.02679977783669397,-0.05845188041267819,-0.4874298357147029,-0.020211054471635945,0.021310325662219968,0.80926513671875,-1.955657958984375,0.110595703125,-0.1359285409859713,0.04382977258830609,0.06957401821388406,seonkim
